ticker,name,start_date,end_date,add_reason,remove_reason,source,cik
PRGO,Perrigo Company Plc,2011-12-06,2013-06-06,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
PSFT,People Soft Inc,1995-12-18,2004-12-29,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
PTEN,,2002-12-23,2004-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
PTEN,,2005-12-19,2007-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
PTON,"Peloton Interactive, Inc",2020-12-21,2022-01-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
PYPL,PayPal,2015-11-11,,Annual Re-ranking,,fmp:nasdaq100,0001633917
QCOM,Qualcomm,1985-06-30,,Annual Re-ranking,,fmp:nasdaq100,0000804328
QGEN,Qiagen NV,2009-12-21,2011-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
QLGC,QLogic Corp,1999-12-20,2005-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
QRTEA,"Qurate Retail, Inc",2006-10-24,2018-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
REGN,Regeneron Pharmaceuticals,2012-12-24,,Annual Re-ranking,,fmp:nasdaq100,0000872589
RHT,Red Hat Inc,2005-12-19,2006-12-12,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
RIVN,Rivian Automotive Inc,2022-12-19,2023-06-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
RKLB,"Rocket Lab USA, Inc.",2026-06-22,,Quarterly rebalance,,fmp:nasdaq100,0001819994
ROP,Roper Technologies,2023-12-18,,Annual Re-ranking,,fmp:nasdaq100,0000882835
ROST,Ross Stores,2002-12-23,2007-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0000745732
ROST,Ross Stores,2008-12-22,,Annual Re-ranking,,fmp:nasdaq100,0000745732
RYAAY,Ryanair Holdings Plc,2002-12-23,2004-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
RYAAY,Ryanair Holdings Plc,2007-02-14,2009-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SANM,Sanmina Corp,1998-12-30,2005-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SBAC,SBA Comm's Corp,2012-12-24,2017-03-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SBUX,Starbucks,1996-11-25,,Annual Re-ranking,,fmp:nasdaq100,0000829224
SEBL,Siebel Systems Inc,1999-06-25,2006-02-01,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SEPR,Sepracor Inc,2005-08-15,2007-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SGEN,Seagen Inc,2019-12-23,2023-12-18,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SHLD,Sears Holdings Corp,2004-08-19,2013-12-23,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SHOP,Shopify,2025-05-18,,MongoDB did not meet the minimum monthly weight requirements.,,fmp:nasdaq100,0001594805
SHPG,Shire PLC,2016-10-19,2018-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SIAL,,2002-07-15,2015-07-31,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SIRI,Sirius XM Holdings Inc,2004-12-20,2008-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SIRI,Sirius XM Holdings Inc,2011-07-15,2024-06-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SMCI,Super Micro Computer Inc,2024-07-21,2024-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
SNDK,Sandisk Corporation,2003-11-13,2008-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0002023554
SNDK,Sandisk Corporation,2009-12-21,2016-03-16,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0002023554
